127.0.0.1 - - [03/Jan/2019:00:08:53 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:08:53 +0530] "GET /Virtual_classroom/ HTTP/1.1" 200 3727
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:08:53 +0530] "GET /Virtual_classroom/style1.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:08:53 +0530] "GET /Virtual_classroom/login.png HTTP/1.1" 200 47391
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:08:53 +0530] "GET /Virtual_classroom/i9.jpg HTTP/1.1" 200 119198
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:09:03 +0530] "GET /Virtual_classroom/ HTTP/1.1" 200 3727
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:09:03 +0530] "GET /Virtual_classroom/style1.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:09:03 +0530] "GET /Virtual_classroom/login.png HTTP/1.1" 200 47391
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:09:03 +0530] "GET /Virtual_classroom/i9.jpg HTTP/1.1" 200 119198
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:09:17 +0530] "POST /Virtual_classroom/stud_log HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:11:29 +0530] "POST /Virtual_classroom/stud_log HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:11:56 +0530] "POST /Virtual_classroom/stud_log HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:12:29 +0530] "POST /Virtual_classroom/stud_log HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:12:29 +0530] "GET /Virtual_classroom/Student_logged.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [03/Jan/2019:00:13:16 +0530] "GET /Virtual_classroom/stud_pro HTTP/1.1" 404 1103
